"Generated Summary","Reference Summary"
" became a rallying cry for the national movement for missing and murdered children in the United States and around the world. The case has drawn national attention because of the number of missing children in America, and the fact that more than 1,000 people have been killed in the U.S. so far this year alone. The National Missing and Murdered Children's Network (NMSN) is a non-profit organization dedicated to raising awareness about missing children. The NMSN's mission is to raise awareness about the causes of child abuse and neglect in America. The organization's website is http://www.nmsn.org.","Jurors have started deliberations in the case against Pedro Hernandez, the man accused of killing 6-year-old Etan Patz in 1979.
Assistant District Attorney Joan Illuzzi-Orbon asked jurors in the ten week trial to convict Hernandez of murder.
She described him as a calculated killer who committed a terrible crime and then spent three decades trying to hide from it.
The defense says Hernandez's admissions are made up, the ravings of a mentally ill man who sees visions and has a low IQ."
" a post mortem examination on Monday morning.","Hometown of Stephanie Scott paid tribute to the murdered teacher with a stunning hot-air balloon display.
More than a dozen hot air balloons hovered above the small community in Canowindra.
Hundreds gathered to mourn the tragic death of the 26-year-old after she was murdered last week.
Friends and family gathered for a memorial picnic on Saturday -- the day she would have been married."
"In his autobiography, Floyd Mayweather says: 'I'm not a boxer. I'm a fighter. I don't care who you are or what you do. I just want to fight. I want to win. 'I don't know what I'm doing, but I'm not going to lie to you. I think I'm the best fighter in the world.'","Floyd Mayweather is widely considered the best boxer in the world.
But he believes he is better than heavyweight legend Muhammad Ali.
Mayweather did admit that he respects both Ali and Sugar Ray Robinson.
He takes on Manny Pacquiao on May 2 in their $300m mega-fight.
Mayweather-Pacquiao weigh-in will be first ever with paid-for tickets."
" no idea what to expect, but we decided to go for a walk. We walked for a couple of hours before heading back to Venice, where we were greeted by a group of young women. They were dressed in their own clothes, and we were told that they were going to take us on a tour of the city. The tour was a bit of an adventure, but it was worth it. We spent the rest of the day in the villa, which was surrounded by lush green fields, and the view of the sea was breathtaking. It was a beautiful day, and it was the first time we had visited Venice in a while","The comedian stayed with Flavours who offer a Painting In Venice break.
Jenny and her partner Geof stayed at the farmhouse Villa Bianchi.
Days involved sitting in medieval market towns with a brush and prosecco."
"The video was uploaded on Saturday, April 3, and has since been viewed over 1.5 million times on YouTube. It is believed to be the first time a UFO has been seen in Kazakhstan in over a year.","Clip shows mysterious black cloud hanging over the village of Shortandy.
The perfect hoop shape sat in the air not moving for more than 15 minutes.
Eerie video has been viewed tens of thousands of times on Youtube.
While some viewers are suggesting the cloud was an alien spacecraft, experts think it could have been caused by nearby factories."
" time for us to get there but I think we will get there. 'If we get there we will have a very good chance of winning the league and I think that's what we are looking forward to. 'But I think it will be a very difficult game for us. 'We will have to wait and see if we can get there and if we do get there then we will win the league. 'And if we don't get there, then it's going to be very difficult for us.'","Rangers are currently second in the Scottish Championship.
Stuart McCall's side are in pole position to go up via the play-offs.
But McCall is still not certain of his future at the club next season.
Rangers boss says he is still trying to build the squad for next year.
Rangers have begun to expand their scouting after several poor years."
"This is a great signing for Swansea and we look forward to working with them on the future of the club.'","Christian Fuchs' current Schalke contract expires in the summer.
Defender has attracted interested from a number of Premier League clubs.
Swansea have expressed their interest in the Austria international."
"A Liverpool spokesman said: 'We are aware of the allegations made by Alan Smith. We are working with the medical staff to resolve the matter. 'We will not comment further at this time.'","Liverpool beat Manchester United 1-0 in the FA Cup fifth round in 2006.
Alan Smith suffered a broken leg and a dislocated ankle during the game.
Reports claimed Liverpool fans attacked the ambulance with Smith in."
"The show is based on the book of the same name by David Chase, which was published by HarperCollins in 2001. The show is set in New Jersey and is produced by Warner Bros. Television.","Lorraine Bracco was asked by The Sopranos creator to be Carmela.
The actress turned him down because she played a mobster's wife in Martin Scorsese's Goodfellas in 1990.
Convinced showrunner David Chase to let her play the role of Dr. Jennifer Melfi."
"The two sides met for the first time in the Bundesliga on Saturday, with Gotze's side winning 3-2 in the first leg.","Andre Schurrle and Mario Gotze enjoyed evening out with girlfriends.
Germany duo were joined by Montana Yorke and Ann-Kathrin Broemmel.
Schurrle and Gotze both enjoyed Bundesliga victories on Saturday."
